1,3.956
2,8.327
3,12.111
4,12.509
5,12.501
6,3.36
7,12.494
8,12.108
9,12.488
10,9.293
11,13.262
12,12.277
13,12.497
14,8.33
15,12.496
16,12.192
17,12.495
18,16.663
19,12.489
20,16.141
21,12.492
22,11.509
23,12.507
24,9.994
25,13.069
26,10.825
27,9.914
28,12.507
29,9.692
30,8.33
31,13.122
37,8.334
38,10.426
39,12.489
40,9.241
41,16.676
42,12.515
43,16.654
44,8.328
45,16.661
46,16.666
50,12.519
51,12.491
52,12.488
53,8.33
54,12.505
55,15.755
56,16.656
57,8.329
58,16.649
59,12.507
60,12.49
61,12.494
